City,Type,Popularity
Everest Base Camp,Trek,High
Pokhara,City,High
Chitwan National Park,Nature,High
Mustang,Trek,High
Lumbini,Religious,High
Kathmandu,City,High
Annapurna Base Camp,Trek,High
Bhaktapur,City,High
Patan,City,High
Nagarkot,Hill Station,High
Bandipur,Hill Station,Medium
Ghandruk,Village,High
Manang,Trek,High
Langtang,Trek,Medium
Janakpur,Religious,Medium
Ilam,Nature,Medium
Dhulikhel,Hill Station,Medium
Rara Lake,Nature,Medium
Bardia National Park,Nature,Medium
Muktinath,Religious,High
Gorkha,History,Medium
Tansen,History,Medium
Daman,Hill Station,Low
Kalinchowk,Snow,High
Phidim,City,Low
Namche Bazaar,Trek,High
